
\xb0\xd0\xfe0,0\n
60,4095\n
120,0\n
173,2448\n
222,4095\n
269,0\n
312,4095\n
350,0\n
389,2298\n
422,4095\n
456,0\n
482,4095\n
508,0\n
535,2012\n
565,4095\n
579,0\n
600,4095\n
617,0\n
633,1847\n
656,4095\n
667,0\n
680,4095\n
693,0\n
706,1673\n
704,4095\n
728,0\n
739,4095\n
748,0\n
758,1520\n
769,4095\n
777,0\n
787,4095\n
798,0\n
801,1392\n
807,4095\n
817,0\n
822,4095\n
826,0\n
836,1213\n
841,4095\n
847,0\n
852,4095\n
857,0\n
862,1152\n
868,4095\n
872,0\n
875,4095\n
880,0\n
884,975\n
888,4095\n
892,0\n
887,4095\n
901,0\n
904,837\n
905,4095\n
908,0\n
911,4095\n
893,0\n
922,755\n
919,4095\n
920,0\n
921,4095\n
925,0\n
925,698\n
916,4095\n
931,0\n
922,4095\n
933,0\n
935,556\n
941,4095\n
940,0\n
940,4095\n
937,0\n
953,485\n
950,4095\n
947,0\n
951,4095\n
948,0\n
932,395\n
951,4095\n
950,0\n
951,4095\n
964,0\n
956,302\n
957,4095\n
956,0\n
956,4095\n
959,0\n
968,239\n
960,4095\n
960,0\n
961,4095\n
962,0\n
964,137\n
1007,4095\n
964,0\n
964,4095\n
964,0\n
965,70\n
967,4095\n
968,0\n
967,4095\n
969,0\n
968,45\n
970,4095\n
971,0\n
972,4095\n
972,0\n
972,0\n
965,4095\n
971,0\n
973,4095\n
975,0\n
975,0\n
974,4095\n
978,0\n
976,4095\n
973,83\n
975,0\n
982,4095\n
979,0\n
979,4095\n
976,144\n
977,0\n
980,4095\n
979,0\n
976,4095\n
980,285\n
980,0\n
980,4095\n
977,0\n
980,4095\n
982,464\n
982,0\n
983,4095\n
979,0\n
982,4095\n
983,615\n
983,0\n
984,4095\n
983,0\n
984,4095\n
981,752\n
946,0\n
982,4095\n
984,0\n
987,4095\n
987,887\n
941,0\n
984,4095\n
985,0\n
988,4095\n
988,1109\n
986,0\n
985,4095\n
987,0\n
987,4095\n
988,1153\n
988,0\n
988,4095\n
988,0\n
996,4095\n
989,1287\n
988,0\n
990,4095\n
988,0\n
980,4095\n
985,1296\n
988,0\n
988,4095\n
984,0\n
991,4095\n
992,1457\n
989,0\n
990,4095\n
990,0\n
988,4095\n
990,1630\n
991,0\n
992,4095\n
988,0\n
992,4095\n
994,1805\n
1023,0\n
996,4095\n
991,0\n
991,4095\n
992,1985\n
994,0\n
992,4095\n
995,0\n
993,4095\n
996,2175\n
994,0\n
993,4095\n
995,0\n
996,4095\n
967,2332\n
995,0\n
993,4095\n
996,0\n
1000,4095\n
996,2523\n
995,0\n
999,4095\n
1023,0\n
993,4095\n
996,2559\n
996,0\n
1002,4095\n
997,0\n
995,4095\n
994,2688\n
997,0\n
993,4095\n
998,0\n
